RDKit Mol,pIC50,Prediction (pIC50),Prediction (pIC50) (Prediction Variance)
O=C(Nc1ccc(CN2CC(C(=O)O)C2)cn1)c1cccc(-c2ccccc2)c1Cl,6.190440285,7.011429741,1.685179237
O=C(Nc1ccc(CN2CC[C@H](C(=O)O)C2)cn1)c1cccc(-c2ccccc2)c1Cl,6.761953897,6.990467689,1.47569657
O=C(Nc1ccc(CN2CC(O)C2)cn1)c1cccc(-c2ccccc2)c1Cl,6.277366077,7.089079396,1.610032204
COc1nc(NC(=O)c2cccc(-c3ccccc3)c2C)ccc1CNCCNC(C)=O,7.552841969,6.240029171,1.038312581
CC(=O)NCCNCc1ccc(NC(=O)c2cccc(-c3ccc4c(c3)OCCO4)c2Cl)nc1,6.54668166,7.069754758,1.255598439
O=C(Nc1ccc(CNCCO)c(F)n1)c1cccc(-c2ccccc2)c1Cl,6.367542708,6.85942719,1.131897633
CC(=O)NCCNCc1ccc(NC(=O)c2cccc(-c3ccccc3)c2Cl)nc1F,6.235823868,6.695021474,1.43941277
CC(=O)NCCNCc1ccnc(NC(=O)c2cccc(-c3ccccc3)c2Cl)c1,6.048662481,6.662647354,1.427353234
O=C(Nc1ccc(CN2CC[C@H](C(=O)O)C2)cn1)c1cccc(-c2ccc3c(c2)OCCO3)c1Cl,7.795880017,7.214923775,1.202792384
O=C(Nc1ccc(CN2CC[C@H](C(=O)O)C2)cn1)c1cccc(-c2ccc3c(c2)OCCO3)c1Br,7.327902142,7.240158042,1.285889774
CC(=O)NCCNCc1ccc(Nc2nnc(-c3cccc(-c4ccccc4)c3C)o2)cc1,2.744968837,6.323250983,0.736965254
Cc1c(-c2ccccc2)cccc1-c1nnc(Nc2ccc(CNCCO)cc2)o1,3.128427064,6.53106186,0.70713905
Cc1c(-c2ccccc2)cccc1-c1nnc(Nc2ccc(CNCC(=O)O)cc2)o1,3.287350298,6.51704255,0.844258343
CC(=O)NCCNCc1cccc(Nc2nnc(-c3cccc(-c4ccccc4)c3C)o2)c1,4.467245621,6.308750287,0.694922639
Cc1c(-c2ccccc2)cccc1-c1nnc(Nc2cccc(CNCCO)c2)o1,4.555955204,6.517020346,0.690375246
Cc1c(-c2ccccc2)cccc1-c1nnc(Nc2cccc(CNCC(=O)O)c2)o1,4.610833916,6.494372279,0.840836343
Cc1c(-c2ccccc2)cccc1-c1nnc(Nc2cccc(CNCCN)c2)o1,3.818156412,6.313762917,0.860101446
Cc1c(-c2ccccc2)cccc1-c1nnc(Nc2cccc(CN3CC[C@@H](O)C3)c2)o1,4.333482019,6.55815806,0.937913119
Cc1c(-c2ccccc2)cccc1-c1nnc(Nc2cccc(CNCCCO)c2)o1,4.252588192,6.432229124,0.792091036
Cc1c(-c2ccccc2)cccc1-c1nnc(Nc2cccc(CN(C)CCO)c2)o1,4.17327748,6.469611836,0.713512951
Cc1c(-c2ccccc2)cccc1-c1nnc(Nc2cccc(CN[C@H](C)CO)c2)o1,4.15490196,6.451537066,0.827700044
Cc1c(-c2ccccc2)cccc1-c1nnc(Nc2cccc(CN3CCOCC3)c2)o1,4.19314197,6.439229838,0.725129634
Cc1c(/C=C/c2c(Cl)cc(CNC(C)(CO)C(=O)O)cc2C(F)(F)F)cccc1-c1ccc2c(c1)OCCO2,7.744727495,7.442801802,0.679168555
CC(=O)N[C@H]1CSSC[C@@H](C(N)=O)NC(=O)[C@H](CC(N)=O)NC(=O)[C@H](CC(C)C)NC(=O)[C@H](CC(N)=O)NC(=O)[C@H](Cc2c[nH]c3ccccc23)NC(=O)[C@H]([C@@H](C)O)NC(=O)[C@H](Cc2ccc(O)cc2)NC(=O)[C@H](Cc2ccc(O)cc2)NC(=O)[C@H](CO)NC(=O)[C@H](CCCNC(=N)N)NC(=O)[C@H](Cc2c[nH]cn2)NC1=O,6.924453039,6.956618452,1.872939834
CC(=O)N[C@H]1CSSC[C@@H](C(=O)N[C@@H](Cc2c[nH]c3ccccc23)C(=O)N[C@@H](CC(N)=O)C(=O)N[C@@H](CC(C)C)C(=O)N[C@@H](CC(N)=O)C(=O)N[C@H](C(N)=O)[C@@H](C)O)NC(=O)[C@H](Cc2ccc(O)cc2)NC(=O)[C@H](Cc2ccc(O)cc2)NC(=O)[C@H](CO)NC(=O)[C@H](CCCNC(=N)N)NC(=O)[C@H](Cc2c[nH]cn2)NC1=O,6.844663963,7.026705472,1.871450311
CC(C)C[C@H](NC(=O)[C@H](CC(N)=O)NC(=O)[C@H](Cc1c[nH]c2ccccc12)NC(=O)[C@@H](NC(=O)[C@H](Cc1ccc(O)cc1)NC(=O)[C@H](Cc1ccc(O)cc1)NC(=O)[C@H](CO)NC(=O)[C@H](CCCNC(=N)N)NC(=O)[C@H](Cc1c[nH]cn1)NC(=O)[C@@H](N)Cc1c[nH]c2ccccc12)[C@@H](C)O)C(=O)N[C@@H](CC(N)=O)C(=O)N[C@H](C(=O)O)[C@@H](C)O,5.216596719,7.100267361,2.04915801
CC(C)OC(=O)[C@H](CO)NCc1cc(Cl)c(OCc2cccc(-c3ccc4c(c3)OCCO4)c2Br)cc1OCc1cccnc1,8,7.466969313,1.642653627
O=C1CC(c2ccccc2)=NN1c1ccccn1,6.444905551,6.3106476,1.55149537
COc1ccccc1C1=NN(c2ccccn2)C(=O)C1,8.15490196,6.396894342,2.027327216
O=C1CC(c2cccc(C(F)(F)F)c2)=NN1c1ccccn1,5.958607315,6.460238047,1.491720663
COc1ccc(C2=NN(c3ccccn3)C(=O)C2)cc1,7.769551079,6.240967631,1.83582175
O=C1CC(c2ccc(C(F)(F)F)cc2)=NN1c1ccccn1,6.844663963,6.435088064,1.662980619
O=C1CC(c2ccc(Cl)cc2)=NN1c1ccccn1,4.48148606,6.597258669,2.016905418
COc1ccc(C2=NN(c3ccccn3)C(=O)C2)cc1OC,8.13667714,6.205039572,1.771244924
O=C1CC(c2ccc(Cl)cc2Cl)=NN1c1ccccn1,7.008773924,6.715714509,2.145903139
O=C1CC(C23CC4CC(CC(C4)C2)C3)=NN1c1ccccn1,8.397940009,6.592508752,1.874608086
CC1=NN(c2ccccn2)C(=O)C1,7.036212173,6.366196431,1.72260603
O=C1CC(C23CC4CC(CC(C4)C2)C3)=NN1c1ccc(Cl)cc1Cl,8.045757491,6.828201971,2.383041589
